size,zdd_size,gen_time,gen_memory,comp_time,comp_memory,compression_rate,comp_timeParArbe,compression_rateParArbe,arbre_compression_memory
91800, 262143, 0.124295, 124983976.000000, 10.038978, 4734814712.000000, 0.535082, 0.553422, 0.511377, 557863656.000000
93600, 262143, 0.142185, 126661072.000000, 9.760606, 4894560424.000000, 0.524431, 0.589167, 0.497477, 570973608.000000
95400, 262143, 0.143795, 127276000.000000, 10.876712, 5072711104.000000, 0.514856, 0.573279, 0.502138, 574102264.000000
97200, 262143, 0.140028, 128427400.000000, 12.269032, 5245367848.000000, 0.507761, 0.676448, 0.488817, 578098024.000000
99000, 262143, 0.148979, 129767248.000000, 11.827652, 5398067648.000000, 0.498705, 0.611226, 0.483980, 583132824.000000
100800, 262143, 0.129620, 131057200.000000, 11.078632, 5605727968.000000, 0.490564, 0.602289, 0.473719, 592951960.000000
102600, 262143, 0.131834, 132647248.000000, 10.796562, 5805214536.000000, 0.477083, 0.625084, 0.448610, 635146784.000000
104400, 262143, 0.147127, 134098360.000000, 12.476283, 6022263904.000000, 0.471567, 0.741266, 0.442064, 635557168.000000
106200, 262143, 0.130982, 135633520.000000, 11.993728, 6173589112.000000, 0.460855, 0.593801, 0.442590, 639066416.000000
108000, 262143, 0.146724, 136650424.000000, 12.204935, 6353126920.000000, 0.452616, 0.587864, 0.424616, 648575336.000000
109800, 262143, 0.127004, 137639992.000000, 15.201898, 6549628368.000000, 0.443537, 0.680273, 0.402338, 659997872.000000
111600, 262143, 0.147061, 139036000.000000, 13.358093, 6779362856.000000, 0.436388, 0.648400, 0.392389, 667508512.000000
113400, 262143, 0.145690, 141315376.000000, 18.173274, 6951619024.000000, 0.426332, 0.685191, 0.404771, 666193688.000000
115200, 262143, 0.156844, 141881776.000000, 17.430609, 7168652552.000000, 0.416429, 0.660002, 0.382959, 682363184.000000
117000, 262143, 0.137706, 143738440.000000, 17.894762, 7362875400.000000, 0.408289, 0.724114, 0.376054, 686484704.000000
118800, 262143, 0.151912, 145188112.000000, 18.990482, 7610437152.000000, 0.397462, 0.679748, 0.366098, 704732440.000000
120600, 262143, 0.157181, 146405512.000000, 15.734376, 7728613240.000000, 0.388063, 0.669294, 0.356035, 712348672.000000
122400, 262143, 0.150250, 148219144.000000, 15.764956, 7999914968.000000, 0.377336, 0.686932, 0.344217, 719351120.000000
124200, 262143, 0.182866, 149926336.000000, 15.479851, 8204931504.000000, 0.368997, 0.759660, 0.337442, 726708240.000000
126000, 262143, 0.194678, 150954544.000000, 18.148488, 8417117744.000000, 0.360597, 0.749916, 0.342622, 726113440.000000
127800, 262143, 0.145087, 152641408.000000, 18.313370, 8684178000.000000, 0.353074, 0.742528, 0.316407, 744353904.000000
129600, 262143, 0.177217, 154600048.000000, 16.759591, 8872194144.000000, 0.343179, 0.688403, 0.323541, 742367312.000000
131400, 262143, 0.190859, 155785888.000000, 18.086492, 9142933792.000000, 0.335275, 0.829502, 0.299867, 756972728.000000
133200, 262143, 0.162592, 157667248.000000, 18.381778, 9369245776.000000, 0.326234, 0.730563, 0.276246, 767283800.000000
135000, 262143, 0.162381, 159689584.000000, 21.608214, 9563549800.000000, 0.314897, 0.886302, 0.264978, 773750304.000000
136800, 524287, 0.326461, 261492904.000000, 26.207647, 10054282208.000000, 0.652696, 0.964146, 0.632306, 1031410960.000000
138600, 524287, 0.254423, 263347264.000000, 28.615648, 10303671384.000000, 0.648111, 1.027439, 0.630452, 1038571840.000000
140400, 524287, 0.293361, 266240392.000000, 27.121472, 10525689240.000000, 0.644193, 1.023852, 0.624654, 1044287760.000000
142200, 524287, 0.277953, 267272608.000000, 25.943880, 10809267080.000000, 0.638482, 1.117097, 0.611673, 1052194216.000000
144000, 524287, 0.258806, 268255792.000000, 29.558100, 11060452888.000000, 0.634591, 0.979902, 0.614759, 1061755992.000000
145800, 524287, 0.259355, 269737336.000000, 29.996062, 11308666256.000000, 0.631154, 1.011338, 0.611089, 1065165768.000000
147600, 524287, 0.452255, 272000200.000000, 29.046913, 11621657336.000000, 0.625619, 1.113579, 0.611955, 1069636544.000000
149400, 524287, 0.278467, 274629736.000000, 28.139466, 11753643032.000000, 0.621309, 0.997930, 0.602781, 1076301392.000000
